priority_rank,family_priority_rank,event_family_final,report_number,candidate_seq,match_status,observed_probability_under_null,observed_probability_log10,surprisal_log10,claimed_contact_date,earliest_provable_public_date,publication_lag_days_vs_event,publication_lag_days_vs_primary_source,publication_conflict_gap_bucket,public_date_basis,public_date_cohort_status,public_date_cohort_reason,provenance_score,current_public_evidence_kind,current_public_source_tier,current_public_source_bucket,current_public_source_label,current_public_source_url,best_available_source_tier,best_available_source_bucket,best_available_source_label,best_available_source_url,earliest_primary_source_date,earliest_mirror_source_date,earliest_secondary_source_date,public_date_reason,event_start_date,event_title,event_source_url,claim_normalized,source_quote
11,10,politics_election,436,12,exact_hit,0.040810542891,-1.389228,1.389228,2006-10-15,2020-05-11,-4934,-5827,deep_archive_gap,manual_source_link,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2,manual_source_link,mirror_translation_page,mirror,Future Of Mankind Contact Report 436 English translation page,https://www.futureofmankind.co.uk/Billy_Meier/Contact_Report_436,official_figu_original,primary_official,FIGU shop product page for Plejadisch-plejarische Kontaktberichte Block 11,https://shop.figu.org/produkt/plejadisch-plejarische-kontaktberichte-block-11/,2022-10-21,2020-05-11,,The currently recorded provable public date is later than the observed event date.,2006-11-07,Republicans lost the U.S. House majority in the 2006 elections,https://history.house.gov/Congressional-Overview/Profiles/110th/,"There is something good to be said in passing about the USA, however, as I explained to you in a very private way at the 428th contact conversation on the 10th of July this year, namely that at the beginning of November, in the elections in the US House of Representatives, the irresponsible US President Bush, as well as his vassals and all his Republican supporters, will suffer a heavy defeat and the Democrats will gain the upper hand.","There is something good to be said in passing about the USA, however, as I explained to you in a very private way at the 428th contact conversation on the 10th of July this year, namely that at the beginning of November, in the elections in the US House of Representatives, the irresponsible US President Bush, as well as his vassals and all his Republican supporters, will suffer a heavy defeat and the Democrats will gain the upper hand"
12,11,politics_election,113,7,exact_hit,0.046503045167,-1.332519,1.332519,1978-08-06,2010-11-14,-11768,-16127,deep_archive_gap,manual_source_link,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2,manual_source_link,mirror_translation_page,mirror,Future Of Mankind Contact Report 113 English translation page,https://www.futureofmankind.co.uk/Billy_Meier/Contact_Report_113,official_figu_original,primary_official,FIGU shop product page for Plejadisch-plejarische Kontaktberichte Block 03,https://shop.figu.org/produkt/plejadisch-plejarische-kontaktberichte-block-3/,2022-10-21,2010-11-14,,The currently recorded provable public date is later than the observed event date.,1978-08-26,Election of Pope John Paul I,https://www.vatican.va/content/vatican/it/holy-father/giovanni-paolo-i.html,"At most, you may let it be reported that the new Pope will not exercise his office very long.","At most, you may let it be reported that the new Pope will not exercise his office very long"
13,12,politics_election,136,143,exact_hit,0.064493014968,-1.190487,1.190487,1980-10-14,2007-08-10,-9588,-15139,deep_archive_gap,wiki_first_revision,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2,wiki_first_revision,mirror_revision_timestamp,mirror,Future Of Mankind Contact Report 136 first page revision,https://www.futureofmankind.co.uk/Billy_Meier/Contact_Report_136,official_figu_original,primary_official,FIGU shop product page for Plejadisch-plejarische Kontaktberichte Block 04,https://shop.figu.org/produkt/plejadisch-plejarische-kontaktberichte-block-4/,2022-10-21,2007-08-10,,The currently recorded provable public date is later than the observed event date.,1981-05-10,Francois Mitterrand elected President of the French Republic,https://www.conseil-constitutionnel.fr/les-decisions/decision-n-81-31-pdr-du-15-mai-1981,"and indeed he will do this already before the assassination attempt on the Pope will occur, and before, in France, the new national president named Mitterrand will be elected, who then likewise pursues a policy which leads toward the destruction of the nation and the Earth, as will be the case with the American president, Reagan.","and indeed he will do this already before the assassination attempt on the Pope will occur, and before, in France, the new national president named Mitterrand will be elected, who then likewise pursues a policy which leads toward the destruction of the nation and the Earth, as will be the case with the American president, Reagan"
14,13,politics_election,448,9,exact_hit,0.068937220296,-1.161546,1.161546,2007-04-27,2011-02-01,-1363,-5643,deep_archive_gap,wiki_first_revision,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2,wiki_first_revision,mirror_revision_timestamp,mirror,Future Of Mankind Contact Report 448 first page revision,https://www.futureofmankind.co.uk/Billy_Meier/Contact_Report_448,official_figu_original,primary_official,FIGU shop product page for Plejadisch-plejarische Kontaktberichte Block 11,https://shop.figu.org/produkt/plejadisch-plejarische-kontaktberichte-block-11/,2022-10-21,2011-02-01,,The currently recorded provable public date is later than the observed event date.,2007-05-10,Tony Blair announced his resignation timetable,https://assets.publishing.service.gov.uk/media/5a8057d0e5274a2e8ab4f99d/The_Report_of_the_Iraq_Inquiry_-_Volume_VIII.pdf,"The English Prime Minister, Tony Blair, will announce on the 10th of May that he will leave office in June.","The English Prime Minister, Tony Blair, will announce on the 10th of May that he will leave office in June"
15,2,storm,464,5,exact_hit,0.221199216929,-0.655216,0.655216,2008-04-30,2016-09-28,-3070,-5284,deep_archive_gap,wiki_first_revision,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2,wiki_first_revision,mirror_revision_timestamp,mirror,Future Of Mankind Contact Report 464 first page revision,https://www.futureofmankind.co.uk/Billy_Meier/Contact_Report_464,official_figu_original,primary_official,FIGU shop product page for Plejadisch-plejarische Kontaktberichte Block 11,https://shop.figu.org/produkt/plejadisch-plejarische-kontaktberichte-block-11/,2022-10-21,2016-09-28,,The currently recorded provable public date is later than the observed event date.,2008-05-03,Cyclone Nargis catastrophe struck Myanmar,https://library.wmo.int/idurl/4/56991,Then on the 3rd of May a cyclone catastrophe will occur in Myanmar resp.,Then on the 3rd of May a cyclone catastrophe will occur in Myanmar resp
16,14,politics_election,217,3,exact_hit,0.27803639726,-0.555898,0.555898,1987-05-08,2007-08-12,-1797,-7346,deep_archive_gap,wiki_first_revision,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2,wiki_first_revision,mirror_revision_timestamp,mirror,Future Of Mankind Contact Report 217 first page revision,https://www.futureofmankind.co.uk/Billy_Meier/Contact_Report_217,official_figu_original,primary_official,FIGU shop product page for Plejadisch-plejarische Kontaktberichte Block 05,https://shop.figu.org/produkt/plejadisch-plejarische-kontaktberichte-block-5/,2022-10-21,2007-08-12,,The currently recorded provable public date is later than the observed event date.,2002-09-10,Switzerland admitted as the 190th Member State of the United Nations,https://press.un.org/en/2002/ga10041.doc.htm,"But this will not be the case with great certainty, for already shortly after the turn of the millennium, through the irrationality of many Swiss citizens, misled by those who are irresponsible, a firm entry into the UN will take place, which will count as the beginning of the prospective catastrophe, if the prophecy of Henoch should fulfil itself, which can still be averted, however, if this people takes the initiative and brings the responsible persons of the government to reason.","But this will not be the case with great certainty, for already shortly after the turn of the millennium, through the irrationality of many Swiss citizens, misled by those who are irresponsible, a firm entry into the UN will take place, which will count as the beginning of the prospective catastrophe, if the prophecy of Henoch should fulfil itself, which can still be averted, however, if this people takes the initiative and brings the responsible persons of the government to reason"
17,3,storm,574,7,exact_hit,0.297381477337,-0.526686,0.526686,2013-11-02,2020-11-18,-2557,-3259,deep_archive_gap,wiki_first_revision,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2,wiki_first_revision,mirror_revision_timestamp,mirror,Future Of Mankind Contact Report 574 first page revision,https://www.futureofmankind.co.uk/Billy_Meier/Contact_Report_574,official_figu_original,primary_official,FIGU shop product page for Plejadisch-plejarische Kontaktberichte Block 13,https://shop.figu.org/produkt/plejadisch-plejarische-kontaktberichte-block-13/,2022-10-21,2020-11-18,,The currently recorded provable public date is later than the observed event date.,2013-11-18,Severe storm flooding struck Sardinia,https://www.ecmwf.int/sites/default/files/elibrary/2014/73906-application-and-verification-ecmwf-products-2014-italy_0.pdf,"So in the near future, a devastating storm will also strike Sardinia, while a series of tornadoes will bring disaster to the USA.","So in the near future, a devastating storm will also strike Sardinia, while a series of tornadoes will bring disaster to the USA"
18,15,politics_election,136,53,exact_hit,0.321248365749,-0.493159,0.493159,1980-10-14,2007-08-10,-9696,-15247,deep_archive_gap,wiki_first_revision,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2,wiki_first_revision,mirror_revision_timestamp,mirror,Future Of Mankind Contact Report 136 first page revision,https://www.futureofmankind.co.uk/Billy_Meier/Contact_Report_136,official_figu_original,primary_official,FIGU shop product page for Plejadisch-plejarische Kontaktberichte Block 04,https://shop.figu.org/produkt/plejadisch-plejarische-kontaktberichte-block-4/,2022-10-21,2007-08-10,,The currently recorded provable public date is later than the observed event date.,1981-01-22,Alexander Haig assumed office as U.S. Secretary of State,https://history.state.gov/departmenthistory/people/haig-alexander-meigs,"Ronald Reagan, who will take office as US President in January 1981, appoints former NATO Supreme Allied Commander Alexander Haig as his Secretary of State (→ 4. ll./p.","Ronald Reagan, who will take office as US President in January 1981, appoints former NATO Supreme Allied Commander Alexander Haig as his Secretary of State (→ 4. ll./p"
19,4,storm,366,12,exact_hit,0.36526358106,-0.437394,0.437394,2004-09-03,2020-02-11,-5629,-6612,deep_archive_gap,wiki_first_revision,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2,wiki_first_revision,mirror_revision_timestamp,mirror,Future Of Mankind Contact Report 366 first page revision,https://www.futureofmankind.co.uk/Billy_Meier/Contact_Report_366,official_figu_original,primary_official,FIGU shop product page for Plejadisch-plejarische Kontaktberichte Block 09,https://shop.figu.org/produkt/plejadisch-plejarische-kontaktberichte-block-9/,2022-10-21,2020-02-11,,The currently recorded provable public date is later than the observed event date.,2004-09-13,Tropical Storm Jeanne formed in the Caribbean,https://www.nhc.noaa.gov/archive/2004/pub/al112004.public_a.001.shtml?,"Further it turns out that the probably ever biggest hurricane of the last decades in the Caribbean will be only the precursor of another big hurricane, which gets the name Jeanne and which already forms before the big storm named Ivan even crosses the Gulf of Mexico, reaches America and on its way causes a lot of damage and disaster and takes far more than 2,000 lives and therefore has much worse effects than the predecessor.","Further it turns out that the probably ever biggest hurricane of the last decades in the Caribbean will be only the precursor of another big hurricane, which gets the name Jeanne and which already forms before the big storm named Ivan even crosses the Gulf of Mexico, reaches America and on its way causes a lot of damage and disaster and takes far more than 2,000 lives and therefore has much worse effects than the predecessor"
20,5,storm,863,6,exact_hit,0.698805788088,-0.155644,0.155644,2023-09-06,2023-09-18,-8,-8,small_gap,publication_snapshot,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2,publication_snapshot,official_figu_original,primary_official,FIGU official German PDF metadata for Contact Report 863,https://www.figu.org/files/figu_kontaktberichte/figu_kontaktbericht_863.pdf,official_figu_original,primary_official,FIGU official German PDF metadata for Contact Report 863,https://www.figu.org/files/figu_kontaktberichte/figu_kontaktbericht_863.pdf,2023-09-18,2023-09-18,,The currently recorded provable public date is later than the observed event date.,2023-09-10,Storm Daniel caused deadly flooding in Libya,https://wmo.int/media/news/libya-reels-deadly-flooding,"If I remember correctly, Libya will also be hit by such a storm in the near future and thousands of human lives will be lost.","If I remember correctly, Libya will also be hit by such a storm in the near future and thousands of human lives will be lost"
21,6,storm,688,6,exact_hit,0.736402861884,-0.132885,0.132885,2017-08-20,2021-01-09,-1233,-1883,deep_archive_gap,wiki_first_revision,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2,wiki_first_revision,mirror_revision_timestamp,mirror,Future Of Mankind Contact Report 688 first page revision,https://www.futureofmankind.co.uk/Billy_Meier/Contact_Report_688,official_figu_original,primary_official,FIGU shop product page for Plejadisch-plejarische Kontaktberichte Block 16,https://shop.figu.org/produkt/plejadisch-plejarische-kontaktberichte-block-16-2/,2022-10-21,2021-01-09,,The currently recorded provable public date is later than the observed event date.,2017-08-25,Hurricane Harvey made catastrophic Texas landfall,https://www.nhc.noaa.gov/data/tcr/AL092017_Harvey.pdf,"This also will be proven in a few days, namely in America in the state of Texas, where an exorbitant hurricane – with a speed of around 250 kilometres per hour, far exceeding anything previously experienced in those areas – will cause enormous damage and destruction, far exceeding what was caused by Hurricane Katrina from the 23rd–31st of August 2005 in Alabama, Louisiana and Cuba.","This also will be proven in a few days, namely in America in the state of Texas, where an exorbitant hurricane – with a speed of around 250 kilometres per hour, far exceeding anything previously experienced in those areas – will cause enormous damage and destruction, far exceeding what was caused by Hurricane Katrina from the 23rd–31st of August 2005 in Alabama, Louisiana and Cuba"
